信号までの距離,追加位相,パターン
0,0,2
1,0.75,2
2,1.5,2
3,2.25,2
4,3,2
5,3.75,2
6,4.5,2
7,5.25,2
8,6,2
9,6.75,2
10,7.5,2
11,8.25,2
12,9,2
13,9.75,2
14,10.5,2
15,11.25,2
16,12,2
17,12.75,2
18,13.5,2
19,14.25,2
20,15,2
21,15.75,2
22,16.5,2
23,17.25,1
24,18,1
25,18.75,1
26,19.5,1
27,20.25,1
28,21,1
29,21.75,1
30,22.5,1
31,23.25,1
32,24,1
33,24.75,1
34,25.5,1
35,26.25,1
36,27,1
37,27.75,1
38,28.5,1
39,29.25,1
40,30,1
41,30.75,1
42,31.5,1
43,32.25,1
44,33,1
45,33.75,1
46,34.5,1
47,35.25,1
48,36,1
