信号までの距離,追加位相,パターン
0,0,1
1,0.75,1
2,1.5,1
3,2.25,1
4,3,1
5,3.75,1
6,4.5,1
7,5.25,1
8,6,1
9,6.75,1
10,7.5,1
11,8.25,1
12,9,1
13,9.75,1
14,10.5,1
15,11.25,2
16,12,2
17,12.75,2
18,13.5,2
19,14.25,2
20,15,2
21,15.75,2
22,16.5,2
23,17.25,2
24,18,2
25,18.75,2
26,19.5,2
27,20.25,2
28,21,2
29,21.75,2
30,22.5,2
31,23.25,2
32,24,2
33,24.75,2
34,25.5,2
35,26.25,2
36,27,2
37,27.75,2
38,28.5,2
39,29.25,2
40,30,2
41,30.75,2
42,31.5,2
43,32.25,2
44,33,2
45,33.75,2
46,34.5,2
47,35.25,2
48,36,2
